interaction_type_id,interaction_date,user_id,offered,answered,talk_time_in_ss,hold_time_in_ss,acw_time_in_ss
1,1/2/2016,1000804,10,10,2452,50,834
1,1/2/2016,1001561,13,13,4941,29,1263
1,1/2/2016,1002387,22,22,19458,844,598
1,1/2/2016,1002569,14,14,8573,218,512
2,1/2/2016,1002570,1,1,3943,0,60
1,1/2/2016,1002570,14,14,9507,1985,1444
1,1/2/2016,1002791,10,10,4573,0,575
2,1/2/2016,1002791,1,1,340,0,60
1,1/2/2016,1002863,24,24,6170,490,361
1,1/2/2016,1003071,30,30,6647,97,1339
2,1/2/2016,1003071,2,2,342,0,67
1,1/2/2016,1003080,16,16,5385,0,2230
2,1/2/2016,1003080,1,1,492,0,313
2,1/2/2016,1003250,1,1,706,0,0
1,1/2/2016,1003250,25,25,5944,413,1112
1,1/2/2016,1003300,17,17,5531,101,1190
2,1/2/2016,1800173,1,1,995,0,10
1,1/2/2016,1800609,12,12,10380,248,746
2,1/2/2016,1800609,1,1,681,0,60
1,1/2/2016,1800635,8,8,4779,44,31
1,1/2/2016,1800651,27,27,3776,0,246
2,1/2/2016,1800651,7,7,560,0,294
1,1/2/2016,1800679,16,16,9273,488,576
1,1/2/2016,1800794,1,1,2554,284,12
1,1/2/2016,1800818,8,8,1364,0,301
2,1/2/2016,1800818,2,2,634,0,120
1,1/2/2016,1800855,12,12,6389,0,445
2,1/2/2016,1800943,2,2,360,0,120
1,1/2/2016,1800943,15,15,2312,521,1001
1,1/2/2016,1800953,33,32,9638,0,4211
1,1/2/2016,1800966,7,7,2762,197,420
2,1/2/2016,1801105,6,6,342,0,101
1,1/2/2016,1801105,15,15,2810,0,1039
1,1/2/2016,1801107,26,26,18775,655,2726
1,1/2/2016,1801126,37,37,8592,26,2449
1,1/2/2016,1801156,20,20,11522,1459,958
2,1/2/2016,1801156,2,2,443,0,3
1,1/2/2016,1801163,36,36,7007,290,3330
1,1/2/2016,1801180,17,17,13469,0,1278
1,1/2/2016,1803187,19,19,7772,845,580
1,1/2/2016,1803190,10,10,6649,302,1129
1,1/2/2016,1803222,17,17,15319,2074,1490
1,1/2/2016,1803226,36,36,6279,26,348
2,1/2/2016,1803226,24,23,526,0,204
1,1/2/2016,1803259,7,7,1534,0,401
2,1/3/2016,1003300,1,1,112,0,5
1,1/3/2016,1003300,11,11,5159,0,1101
2,1/4/2016,1000401,10,10,9489,0,432
1,1/4/2016,1000486,1,1,239,1109,3
2,1/4/2016,1000490,19,19,23562,0,627
1,1/4/2016,1000490,1,1,110,0,4
1,1/4/2016,1000637,22,22,10722,3387,2750
1,1/4/2016,1000804,3,3,1395,311,620
1,1/4/2016,1001531,4,4,1319,2308,441
2,1/4/2016,1001531,1,1,4005,0,0
1,1/4/2016,1001561,23,23,9255,3864,6541
1,1/4/2016,1001651,7,7,2133,687,415
1,1/4/2016,1001769,9,9,3576,339,486
1,1/4/2016,1001818,52,52,6793,0,5822
1,1/4/2016,1001819,28,21,10398,575,960
1,1/4/2016,1001820,20,19,2954,1290,1075
1,1/4/2016,1001822,39,39,9531,0,2312
1,1/4/2016,1001823,12,10,2283,222,199
1,1/4/2016,1001826,19,15,4472,0,234
1,1/4/2016,1001827,1,0,0,0,0
1,1/4/2016,1001832,1,0,0,0,0
1,1/4/2016,1001837,40,34,8067,2106,1740
1,1/4/2016,1001838,52,52,10832,35,3767
1,1/4/2016,1001841,16,15,7918,472,623
1,1/4/2016,1002331,21,21,5978,1687,7014
1,1/4/2016,1002387,3,3,1263,0,65
1,1/4/2016,1002404,8,8,1995,491,480
2,1/4/2016,1002469,4,4,551,0,0
1,1/4/2016,1002469,2,2,1628,0,0
1,1/4/2016,1002500,20,20,18306,0,2903
1,1/4/2016,1002501,23,23,15632,5669,2329
1,1/4/2016,1002569,17,17,14816,1919,1207
1,1/4/2016,1002570,20,20,21143,866,1815
2,1/4/2016,1002791,1,1,1013,0,60
1,1/4/2016,1002791,27,27,14928,0,2543
1,1/4/2016,1002792,10,10,7574,405,1051
1,1/4/2016,1002863,27,27,13105,1652,316
1,1/4/2016,1002926,13,13,11637,662,832
2,1/4/2016,1002928,1,1,2445,0,60
1,1/4/2016,1002928,17,17,12791,177,2425
1,1/4/2016,1002940,4,4,1390,0,204
2,1/4/2016,1002940,2,2,754,0,60
1,1/4/2016,1002950,11,10,6553,741,431
1,1/4/2016,1003017,3,3,891,293,318
2,1/4/2016,1003037,2,2,547,0,66
1,1/4/2016,1003037,34,34,7362,1263,4349
1,1/4/2016,1003071,47,47,10110,1315,2116
1,1/4/2016,1003080,8,8,3119,0,1956
2,1/4/2016,1003080,1,1,421,0,0
1,1/4/2016,1003087,18,18,12833,1322,1172
1,1/4/2016,1003088,15,15,10534,3546,2726
1,1/4/2016,1003105,22,22,12844,8126,2229
1,1/4/2016,1003142,23,23,4608,675,3816
1,1/4/2016,1003149,13,13,21902,1470,1541
1,1/4/2016,1003181,34,34,15962,141,5497
2,1/4/2016,1003181,6,6,1745,0,659
1,1/4/2016,1003183,38,37,11457,1827,3844
2,1/4/2016,1003183,2,2,1551,0,120
2,1/4/2016,1003194,7,7,4398,0,296
1,1/4/2016,1003194,37,36,14334,0,4765
2,1/4/2016,1003232,4,4,2446,0,120
1,1/4/2016,1003232,35,35,10826,299,6569
1,1/4/2016,1003250,24,24,4947,1185,1258
2,1/4/2016,1003250,4,4,4296,0,70
1,1/4/2016,1003266,4,4,1673,0,126
2,1/4/2016,1003266,6,6,2476,0,158
1,1/4/2016,1003285,21,14,8575,170,508
1,1/4/2016,1003286,17,16,10016,993,773
1,1/4/2016,1003292,14,14,10826,3043,1923
1,1/4/2016,1003293,17,17,18265,6867,2418
1,1/4/2016,1003294,1,1,233,0,0
1,1/4/2016,1003295,20,20,16898,36,5753
1,1/4/2016,1003300,19,19,9758,979,4143
1,1/4/2016,1003303,2,2,474,0,0
1,1/4/2016,1003346,19,19,7152,3170,2016
1,1/4/2016,1401146,1,1,71,0,60
1,1/4/2016,1401420,20,20,3396,3171,2412
2,1/4/2016,1401420,2,2,916,0,120
1,1/4/2016,1401462,10,10,1891,161,1645
1,1/4/2016,1401468,16,16,3364,218,2614
2,1/4/2016,1401468,8,8,4607,0,139
1,1/4/2016,1401499,20,20,7832,755,1956
2,1/4/2016,1401499,3,3,1984,0,106
2,1/4/2016,1401501,2,2,985,0,65
1,1/4/2016,1401501,25,23,5333,3240,2917
1,1/4/2016,1701945,27,27,20108,6066,3246
1,1/4/2016,1800173,4,4,2079,179,1386
1,1/4/2016,1800313,22,21,17451,0,460
1,1/4/2016,1800439,2,2,2115,0,10
1,1/4/2016,1800575,6,6,1686,703,211
1,1/4/2016,1800586,24,24,16517,83,1784
1,1/4/2016,1800609,1,1,497,0,6
1,1/4/2016,1800628,20,20,19143,2570,1202
1,1/4/2016,1800641,4,4,1971,0,0
2,1/4/2016,1800646,10,10,5375,0,124
1,1/4/2016,1800646,3,3,4663,49,10
2,1/4/2016,1800651,8,8,2601,0,375
1,1/4/2016,1800651,42,41,8123,1519,6370
2,1/4/2016,1800658,3,3,398,0,235
1,1/4/2016,1800658,21,21,4557,863,1748
1,1/4/2016,1800679,12,12,5749,25,406
1,1/4/2016,1800686,4,4,1056,214,193
1,1/4/2016,1800690,18,18,15727,1723,491
2,1/4/2016,1800770,2,2,723,0,244
1,1/4/2016,1800770,28,28,11849,1691,5838
2,1/4/2016,1800782,1,1,674,0,2
1,1/4/2016,1800782,18,18,3315,589,4936
1,1/4/2016,1800794,2,2,2913,796,4
1,1/4/2016,1800798,9,9,1441,0,652
2,1/4/2016,1800799,5,5,1678,0,291
1,1/4/2016,1800799,30,30,6517,538,4281
1,1/4/2016,1800818,2,2,758,0,13
2,1/4/2016,1800818,2,1,581,0,60
1,1/4/2016,1800825,27,27,11058,2493,1878
2,1/4/2016,1800825,5,5,501,0,186
2,1/4/2016,1800830,22,22,3349,0,751
1,1/4/2016,1800830,24,24,4258,1548,2370
2,1/4/2016,1800855,1,1,382,0,40
1,1/4/2016,1800855,21,21,13999,0,1350
1,1/4/2016,1800870,22,22,6632,2,239
2,1/4/2016,1800870,9,8,3261,0,193
2,1/4/2016,1800875,17,17,2275,0,977
1,1/4/2016,1800875,55,55,11958,1419,2369
1,1/4/2016,1800918,16,16,3677,0,1062
1,1/4/2016,1800942,19,19,6780,357,2657
1,1/4/2016,1800948,18,18,10679,2597,708
2,1/4/2016,1800948,3,3,1115,0,65
1,1/4/2016,1800950,11,11,18003,5696,1235
1,1/4/2016,1800957,12,9,3765,0,387
1,1/4/2016,1800959,51,50,10152,361,4206
1,1/4/2016,1800961,27,27,8760,1383,3401
1,1/4/2016,1800965,27,27,3985,1161,1392
2,1/4/2016,1800965,4,4,1298,0,238
1,1/4/2016,1800966,2,2,720,347,88
1,1/4/2016,1800969,16,16,13353,6098,193
3,1/4/2016,1800969,2,2,2022,0,120
2,1/4/2016,1800988,5,5,4354,0,42
1,1/4/2016,1800988,26,25,7505,0,766
1,1/4/2016,1800995,25,25,12011,1125,1124
2,1/4/2016,1800995,2,2,2411,0,80
